Stock 1,Stock 2,Sharpe Ratio,Total Return (%)
AAPL,GOOG,0.5578866096618144,82.66882007910125
AAPL,AMZN,0.4439113814965847,77.30578197444183
AAPL,META,0.38994744843825435,44.9171620663187
AMZN,GOOG,0.37713179525062307,52.79952254664413
AAPL,MSFT,0.25558436166586446,22.97219705600515
META,MSFT,0.07323263756033416,-36.858257913479385
AMZN,MSFT,0.01441219049457471,-5.294330081789001
GOOG,META,-0.1934028349726046,-39.687039091756326
GOOG,MSFT,-0.2576680173036141,-31.844938361326925
AMZN,META,-0.3262236127728383,-43.95877416997952
