Date,AAPL,AMZN,GOOG,META,MSFT
2018-01-02,40.267066955566406,59.45050048828125,52.816375732421875,180.00738525390625,78.87035369873047
2018-01-03,40.26005935668945,60.209999084472656,53.68327331542969,183.2321014404297,79.2374038696289
2018-01-04,40.44708251953125,60.47949981689453,53.87767028808594,182.8947296142578,79.93479919433594
2018-01-05,40.90756607055664,61.457000732421875,54.662723541259766,185.39511108398438,80.92584991455078
2018-01-08,40.75563430786133,62.34349822998047,54.896305084228516,186.81399536132812,81.00843048095703
2018-01-09,40.750953674316406,62.6349983215332,54.862586975097656,186.40713500976562,80.95337677001953
2018-01-10,40.74160385131836,62.71649932861328,54.68157196044922,186.3773956298828,80.58633422851562
2018-01-11,40.97301483154297,63.83399963378906,54.82588195800781,186.30795288085938,80.82489013671875
2018-01-12,41.39612579345703,65.26000213623047,55.656063079833984,177.9733428955078,82.2197265625
2018-01-16,41.185733795166016,65.24299621582031,55.63127136230469,177.00100708007812,81.07267761230469
2018-01-17,41.865989685058594,64.75,56.13811111450195,176.21714782714844,82.7152328491211
2018-01-18,41.90336990356445,64.66600036621094,56.02949905395508,178.40000915527344,82.67852783203125
2018-01-19,41.71638107299805,64.72899627685547,56.412357330322266,179.87838745117188,82.5867691040039
2018-01-22,41.375091552734375,66.3655014038086,57.31991195678711,183.9266357421875,84.06413269042969
2018-01-23,41.38444900512695,68.12699890136719,58.02214431762695,187.87564086914062,84.33026123046875
2018-01-24,40.72525405883789,67.87550354003906,57.73797607421875,185.09744262695312,84.2568588256836
2018-01-25,39.99825668334961,68.89749908447266,58.0419807434082,186.0201873779297,84.72486114501953
2018-01-26,40.091758728027344,70.10250091552734,58.313255310058594,188.5205841064453,86.31234741210938
2018-01-29,39.26191711425781,70.88400268554688,58.30036163330078,184.53187561035156,86.18386840820312
2018-01-30,39.03050231933594,71.89099884033203,57.71070098876953,185.6630096435547,85.10106658935547
2018-01-31,39.13803482055664,72.54450225830078,58.020660400390625,185.4347686767578,87.18408966064453
2018-02-01,39.2198486328125,69.5,57.90956115722656,191.58651733398438,86.49588775634766
2018-02-02,37.5180778503418,71.49749755859375,55.14228820800781,188.79840087890625,84.22015380859375
2018-02-05,36.580718994140625,69.5,52.36012649536133,179.84864807128906,80.75150299072266
2018-02-06,38.109493255615234,72.14199829101562,53.590030670166016,183.86709594726562,83.80720520019531
2018-02-07,37.293678283691406,70.83899688720703,52.00206756591797,178.77703857421875,82.2288818359375
2018-02-08,36.267494201660156,67.5250015258789,49.66822814941406,170.2440185546875,78.00777435302734
2018-02-09,36.71109390258789,66.9800033569336,51.46646499633789,174.73875427246094,80.91667938232422
2018-02-12,38.189762115478516,69.3115005493164,52.16869354248047,175.03640747070312,81.78843688964844
2018-02-13,38.57233810424805,70.72550201416016,52.176631927490234,171.80178833007812,82.4307632446289
2018-02-14,39.28350830078125,72.55249786376953,53.04947280883789,178.12217712402344,83.72148132324219
2018-02-15,40.60258102416992,73.08799743652344,54.03239440917969,178.55877685546875,85.42707824707031
2018-02-16,40.47114944458008,72.43450164794922,54.29425048828125,175.97900390625,84.8185806274414
2018-02-20,40.33502960205078,73.4175033569336,54.674129486083984,174.6395263671875,85.48240661621094
2018-02-21,40.151939392089844,74.14600372314453,55.11451721191406,176.5247344970703,84.34839630126953
2018-02-22,40.48757553100586,74.26699829101562,54.88093185424805,177.59632873535156,84.5696792602539
2018-02-23,41.191715240478516,75.0,55.88072204589844,181.8628387451172,86.71780395507812
2018-02-26,42.00616455078125,76.09750366210938,56.7218132019043,183.49005126953125,87.97161865234375
2018-02-27,41.870025634765625,75.5989990234375,55.45918655395508,180.04708862304688,86.84686279296875
2018-02-28,41.80664825439453,75.62249755859375,54.78670883178711,176.93153381347656,86.450439453125
2018-03-01,41.074363708496094,74.67250061035156,53.04054260253906,174.57008361816406,85.60223388671875
2018-03-02,41.358367919921875,75.01249694824219,53.506717681884766,175.24478149414062,85.7866439819336
2018-03-05,41.501529693603516,76.18049621582031,54.10232162475586,178.99533081054688,86.33057403564453
2018-03-06,41.4663200378418,76.88200378417969,54.3071403503418,178.3801727294922,86.03556823730469
2018-03-07,41.081382751464844,77.25,55.03020095825195,182.27957153320312,86.53338623046875
2018-03-08,41.52970886230469,77.59300231933594,55.8415412902832,180.92022705078125,87.05892181396484
2018-03-09,42.24320602416992,78.94450378417969,57.52968215942383,183.7877197265625,89.00421142578125
2018-03-12,42.651611328125,79.91950225830078,57.75086975097656,183.3213653564453,89.21626281738281
2018-03-13,42.24086380004883,79.40899658203125,56.445091247558594,180.46380615234375,87.04048919677734
2018-03-14,41.88175964355469,79.55000305175781,57.00647735595703,182.75582885742188,86.52421569824219
2018-03-15,41.93104934692383,79.11599731445312,57.010948181152344,182.42840576171875,86.82842254638672
2018-03-16,41.78318786621094,78.58399963378906,56.32408142089844,183.64878845214844,87.21564483642578
2018-03-19,41.144779205322266,77.24649810791016,54.5432014465332,171.21636962890625,85.63911437988281
2018-03-20,41.13068389892578,79.32550048828125,54.438568115234375,166.84071350097656,85.86038970947266
2018-03-21,40.19889831542969,79.09300231933594,54.0998420715332,168.07107543945312,85.26115417480469
2018-03-22,39.630889892578125,77.24600219726562,52.02686309814453,163.6061248779297,82.78112030029297
2018-03-23,38.713172912597656,74.77799987792969,50.66256332397461,158.14892578125,80.37483215332031
2018-03-26,40.55095291137695,77.79299926757812,52.23168182373047,158.813720703125,86.45964050292969
2018-03-27,39.51118087768555,74.85250091552734,49.84577178955078,151.03477478027344,82.48607635498047
2018-03-28,39.074615478515625,71.57099914550781,49.818992614746094,151.83843994140625,82.41230773925781
2018-03-29,39.37975311279297,72.36699676513672,51.169403076171875,158.54579162597656,84.14558410644531
2018-04-02,39.12156677246094,68.59950256347656,49.91371154785156,154.1800537109375,81.61026763916016
2018-04-03,39.522926330566406,69.60250091552734,50.25789260864258,154.8944549560547,82.70734405517578
2018-04-04,40.2786979675293,70.52850341796875,50.83960723876953,153.89234924316406,85.1228256225586
2018-04-05,40.557987213134766,72.5875015258789,50.97202682495117,158.0993194580078,85.16893005371094
2018-04-06,39.52058029174805,70.2614974975586,49.941978454589844,155.97596740722656,83.18678283691406
